rank,status,fit_score_100,first_name,last_name,title,company_name,website,linkedin_url,offer_summary,gtm_leak_observed,evidence_url,personalized_observation,recommended_mini_audit_angle,opener,last_touch_date,next_action,notes
11,TARGET_FOUND,75,,,,Expert n8n Workflow Automation Agency - InfyOm Technologies,https://infyom.com/services/n8n-workflow-automation-services,,"InfyOm is a leading n8n automation company in India, helping startups and SMEs automate business workflows using the power of low-code and AI.",Potential broad AI/automation positioning. Needs manual verification before send.,https://infyom.com/services/n8n-workflow-automation-services,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at Expert n8n Workflow Automation Agency - InfyOm Technologies. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY,"Source query: ""n8n"" automation consultant agency"
12,TARGET_FOUND,73,,,,n8n AI Automation Consultant & Expert Services - Silent Infotech,https://silentinfotech.com/n8n-automation-consultant,,"Silent Infotech's certified n8n experts build self-hosted AI automation workflows OpenAI integration, CRM sync, custom nodes, and unlimited executions.",Potential broad AI/automation positioning. Needs manual verification before send.,https://silentinfotech.com/n8n-automation-consultant,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at n8n AI Automation Consultant & Expert Services - Silent Infotech. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY,"Source query: ""n8n"" automation consultant agency"
13,TARGET_FOUND,73,,,,Meet Your AI Systems Consultant | OVAMIND — Jacob L.,https://www.ovamind.com/about,,"Log in Sign up Book a Call ... One specialist, 100% focused on making AI work for your small business. JL. Jacob L. AI Systems Specialist & Founder.",Potential broad AI/automation positioning. Needs manual verification before send.,https://www.ovamind.com/about,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at Meet Your AI Systems Consultant | OVAMIND — Jacob L.. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY,"Source query: ""AI systems consultant"" ""founder"" ""book a call"""
14,TARGET_FOUND,73,,,,AI Systems Consultant | Steven Tann,https://steventann.com/friends,,Steven Tann | AI Systems Consultant. I help ... From award-winning chef to SaaS founder—Steven ... Book a Call. Content & Resources. Free Courses · Blog ...,Potential broad AI/automation positioning. Needs manual verification before send.,https://steventann.com/friends,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at AI Systems Consultant | Steven Tann. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY,"Source query: ""AI systems consultant"" ""founder"" ""book a call"""
15,TARGET_FOUND,73,,,,About Bellarine AI | Aaron McLeay — AI Systems Consultant,https://bellarineai.com.au/about,,"... Book a Call. About Bellarine AI. Local expertise. Real implementation ... founder of Bellarine AI. Hi, I'm Aaron McLeay. I didn't come up through tech ...",Potential broad AI/automation positioning. Needs manual verification before send.,https://bellarineai.com.au/about,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at About Bellarine AI | Aaron McLeay — AI Systems Consultant. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY,"Source query: ""AI systems consultant"" ""founder"" ""book a call"""
16,TARGET_FOUND,73,,,,Liam Visionary — AI Systems & Integrations,https://liamvisionary.com/,,Book a call ↗ · /01Work/02Open-Source/03Approach/04Services/05Pricing ... AI Systems Consultant & Full-Stack Engineer. Founder of Rizzma Inc. Est.2019.,Potential broad AI/automation positioning. Needs manual verification before send.,https://liamvisionary.com/,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at Liam Visionary — AI Systems & Integrations. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY,"Source query: ""AI systems consultant"" ""founder"" ""book a call"""
17,TARGET_FOUND,72,,,,Top 10 Make.com Automation Experts in 2026 for Integrations & APIs,https://www.bluelinks.agency/automation/listicles/make-com-automation-experts/,,... Book a Call · Home · Automation · Listicles; Make Com Automation Experts. Top 10 Make.com Automation Experts in 2026 for Integrations & APIs.,Potential broad AI/automation positioning. Needs manual verification before send.,https://www.bluelinks.agency/automation/listicles/make-com-automation-experts/,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at Top 10 Make.com Automation Experts in 2026 for Integrations & APIs. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY,"Source query: ""Make.com"" automation consultant ""book a call"""
18,TARGET_FOUND,70,,,,AI Automation Agencies: 2026 Guide | The JADA Squad,https://www.jadasquad.com/blog/ai-automation-agencies,,"An AI automation agency is a specialist partner that designs, builds, deploys, and actively manages AI-powered systems that replace manual, ...",Potential broad AI/automation positioning. Needs manual verification before send.,https://www.jadasquad.com/blog/ai-automation-agencies,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at AI Automation Agencies: 2026 Guide | The JADA Squad. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY,"Source query: ""AI automation agency"" ""book a call"" founder"
19,TARGET_FOUND,70,,,,AI workflow automation agency: The definitive 2026 guide - HeyReach,https://www.heyreach.io/blog/ai-workflow-automation-agency,,Top AI workflow automation agencies of 2025 · 1. Top of Funnel · 2. TC9 · 3. Understory · 4. OneThousandPieces · 5. Workflows · 6. Startup Cookie.,Potential broad AI/automation positioning. Needs manual verification before send.,https://www.heyreach.io/blog/ai-workflow-automation-agency,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at AI workflow automation agency: The definitive 2026 guide - HeyReach. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY,"Source query: ""AI workflow automation"" agency founder"
20,TARGET_FOUND,70,,,,Make.com Consultant for Service Businesses | Chris Wray,https://cjwray.com/make-com-consultant/,,"A Make.com consultant who builds automations your team can rely on. Clean scenarios, reliable data, and one less thing to chase. Book a call.",Potential broad AI/automation positioning. Needs manual verification before send.,https://cjwray.com/make-com-consultant/,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at Make.com Consultant for Service Businesses | Chris Wray. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY,"Source query: ""Make.com"" automation consultant ""book a call"""
21,TARGET_FOUND,68,,,,Marcus C. - AI Automation Consultant - LinkedIn,https://au.linkedin.com/in/marcuscupillari,https://au.linkedin.com/in/marcuscupillari,"AI Automation Consultant · Hi, I'm Marcus I DON'T JUST AUTOMATE, I BUILD SYSTEMS THAT PRINT $$$, cut wasted hours and scale your Company I saved 128K/yr ...",Potential broad AI/automation positioning. Needs manual verification before send.,https://au.linkedin.com/in/marcuscupillari,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at Marcus C. - AI Automation Consultant - LinkedIn. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY,"Source query: ""AI automation consultant"" ""Book a call"" ""LinkedIn"""
22,TARGET_FOUND,68,,,,AI Agents & Autonomous Workflows: Self-Running Processes,https://kissflow.com/workflow/ai-agents-autonomous-workflow-automation/,,"7 AI Workflow Automation Trends Every IT Leader Must Watch in 2025 ... Owner/ Founder, Team Leader, Team Member, Director/ VP/ CxO, Freelancer. I am looking for ...",Potential broad AI/automation positioning. Needs manual verification before send.,https://kissflow.com/workflow/ai-agents-autonomous-workflow-automation/,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at AI Agents & Autonomous Workflows: Self-Running Processes. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY,"Source query: ""AI workflow automation"" agency founder"
23,TARGET_FOUND,65,,,,AI Agent integrations | Workflow automation with n8n,https://n8n.io/integrations/agent/,,"Use AI Agent to easily build AI-powered applications and integrate them with 422+ apps and services. n8n lets you seamlessly import data from files, websites, ...",Potential broad AI/automation positioning. Needs manual verification before send.,https://n8n.io/integrations/agent/,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at AI Agent integrations | Workflow automation with n8n. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY,"Source query: ""n8n"" automation consultant agency"
24,TARGET_FOUND,65,,,,n8n and AI Agents: Breaking Boundaries in Enterprise-Grade ...,https://dev.to/jamesli/breaking-limitations-building-enterprise-grade-multi-agent-ai-consulting-systems-with-n8n-2ged,,I explored how to combine the decision-making capabilities of AI agents with the system integration capabilities of the n8n workflow automation platform.,Potential broad AI/automation positioning. Needs manual verification before send.,https://dev.to/jamesli/breaking-limitations-building-enterprise-grade-multi-agent-ai-consulting-systems-with-n8n-2ged,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at n8n and AI Agents: Breaking Boundaries in Enterprise-Grade .... The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY,"Source query: ""n8n"" automation consultant agency"
25,TARGET_FOUND,62,,,,Makers Wanted - Make Community,https://community.make.com/t/makers-wanted/42623,,you can check their profiles for links to book a call ... I am from Growwstacks Automation Solutions. We are Gold Partners with make.com and ...,Potential broad AI/automation positioning. Needs manual verification before send.,https://community.make.com/t/makers-wanted/42623,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at Makers Wanted - Make Community. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY,"Source query: ""Make.com"" automation consultant ""book a call"""
26,TARGET_FOUND,60,,,,10 best AI workflow automation tools I'm using in 2026 - Gumloop,https://www.gumloop.com/blog/best-ai-workflow-automation-tools,,"In this article, you'll discover the best AI workflow automation tools I've tried and tested over the past several months. I'll also show you examples.",Potential broad AI/automation positioning. Needs manual verification before send.,https://www.gumloop.com/blog/best-ai-workflow-automation-tools,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at 10 best AI workflow automation tools I'm using in 2026 - Gumloop. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY,"Source query: ""AI workflow automation"" agency founder"
27,TARGET_FOUND,57,,,,Top 5 AI Agent Development Companies in 2026 - Neurons Lab,https://neurons-lab.com/articles/ai-agent-development-services/,,Book a call with us today. ... Ready to co-develop custom AI agents that deliver measurable business results for your financial services firm?,Potential broad AI/automation positioning. Needs manual verification before send.,https://neurons-lab.com/articles/ai-agent-development-services/,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at Top 5 AI Agent Development Companies in 2026 - Neurons Lab. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY,"Source query: ""custom AI agents"" ""book a call"" agency"
28,TARGET_FOUND,57,,,,Custom AI Agent Development for Production Business Workflows,https://cloudnsite.com/solutions/custom-agents,,CloudNSite is an AI agent development company that builds custom AI agents and production AI workflows ... Book a Call · AI Readiness Assessment · ROI ...,Potential broad AI/automation positioning. Needs manual verification before send.,https://cloudnsite.com/solutions/custom-agents,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at Custom AI Agent Development for Production Business Workflows. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY,"Source query: ""custom AI agents"" ""book a call"" agency"
29,TARGET_FOUND,57,,,,AI Agent Development Services | Custom AI Agents - AlphaCorp AI,https://alphacorp.ai/services/ai-agent-development,,"Custom AI agents built for production, not just demos. $4.5TU.S. labor ... Book a Call. 01. Architecture & Design. Reasoning loop, tool selection, memory ...",Potential broad AI/automation positioning. Needs manual verification before send.,https://alphacorp.ai/services/ai-agent-development,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at AI Agent Development Services | Custom AI Agents - AlphaCorp AI. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY,"Source query: ""custom AI agents"" ""book a call"" agency"
30,TARGET_FOUND,57,,,,Custom AI Agent Creation | Purpose-Built Task Agents - Virgent AI,https://virgent.ai/services/agents/custom-agents,,"... custom AI agents. Booking and details at virgent.ai ... We'll scope the agent, show you a relevant demo, and have it in production in 2 weeks. Book a Call ...",Potential broad AI/automation positioning. Needs manual verification before send.,https://virgent.ai/services/agents/custom-agents,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at Custom AI Agent Creation | Purpose-Built Task Agents - Virgent AI. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY,"Source query: ""custom AI agents"" ""book a call"" agency"
31,TARGET_FOUND,57,,,,10 Best AI Agent Development Services - Tensorway,https://www.tensorway.com/post/best-ai-agent-development-services,,Anadea's custom AI agents help businesses automate their workflows ... Let's talk details! Book a call. Definitions: Agentic AI · AI ...,Potential broad AI/automation positioning. Needs manual verification before send.,https://www.tensorway.com/post/best-ai-agent-development-services,"Found via search as an AI/automation/consulting-related result. Verify whether the site names a specific ICP, painful workflow, proof asset, and first CTA.",Offer clarity + first ICP + proof asset before call + 14-day buyer exposure path.,"Hey {first_name} — quick specific note. I was looking at 10 Best AI Agent Development Services - Tensorway. The AI/automation capability seems clear from the outside, but I’d want to pressure-test whether the first buyer-facing workflow is specific enough to create urgency. I’m testing GTM Leak Audits for AI agencies/consultants. Want me to send 2–3 quick observations?",,VERIFY,"Source query: ""custom AI agents"" ""book a call"" agency"
