First Name,Last Name,Company Name,Phone Number,City,State/Region,Lifecycle Stage,Lead Tier,Trade,Buying Signal,Complaint Types,Best Quote,Call Opener,Google Rating,Review Count,Website,Google Maps URL
Duckett Plumbing,,Duckett Plumbing,(864) 387-2715,Greenville,South Carolina,Lead,A - Signal,plumber,yes,scheduling,We had some scheduling issues because we were,"A) Saw a recent review say: ""We had some scheduling issues because we were"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.3,295,https://www.duckettplumbing.com/,https://maps.google.com/?cid=4629178297444097769&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
"Thames Lawn Care, Pressure Washing, & Septic Service",,"Thames Lawn Care, Pressure Washing, & Septic Service",(803) 481-2344,Sumter,South Carolina,Lead,A - Signal,plumber,yes,slow_response,About two days later I received a text message from her stating that they could not help me,"A) Saw a recent review say: ""About two days later I received a text message from her stating that they could not help me"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.8,282,https://thameslawncare.com/,https://maps.google.com/?cid=2260447172186069253&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ClimateMakers Heating ● AC ● Plumbing,,ClimateMakers Heating ● AC ● Plumbing,(843) 994-2850,North Charleston,South Carolina,Lead,A - Signal,hvac,yes,communication,What was billed and what I was told by the tech would be billed was not the same,"A) Saw a recent review say: ""What was billed and what I was told by the tech would be billed was not the same"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.8,281,https://www.climatemakers.biz/?utm_campaign=gmb,https://maps.google.com/?cid=1812328372544730087&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Polar Air And Mechanical LLC,,Polar Air And Mechanical LLC,(843) 839-2378,Myrtle Beach,South Carolina,Lead,A - Signal,hvac,yes,"missed_calls, slow_response","No communication, can’t get them to pick up the phone","A) Saw a recent review say: ""No communication, can’t get them to pick up the phone"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.9,219,https://polarairandmechanical.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-profile,https://maps.google.com/?cid=853544042213099548&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Five Star Plumbing Heating Cooling,,Five Star Plumbing Heating Cooling,(864) 306-4898,Spartanburg,South Carolina,Lead,A - Signal,plumber,yes,"scheduling, slow_response",I received another text at 9:15pm stating we have to reschedule. I called one last time and the dispatcher couldn't provide any answers,"A) Saw a recent review say: ""I received another text at 9:15pm stating we have to reschedule. I called one last time and the dispatcher couldn't provide any answers"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.7,217,https://www.fivestartoday.com/,https://maps.google.com/?cid=11520373104996336584&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Cornerstone Construction,,Cornerstone Construction,(864) 734-7183,Greenville,South Carolina,Lead,A - Signal,roofing,yes,slow_response,"after numerous calls, Cornerstone has dragged their feet.","A) Saw a recent review say: ""after numerous calls, Cornerstone has dragged their feet."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.9,202,https://www.cornerstoneconstruction.org/service-areas/greenville-sc?utm_source=google&utm_medium=gbp&utm_campaign=Greensville,https://maps.google.com/?cid=4577199932921560264&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
American Inc.,,American Inc.,(866) 710-3339,Rock Hill,South Carolina,Lead,A - Signal,hvac,yes,slow_response,2nd said he would let me know never ever heard back.,"A) Saw a recent review say: ""2nd said he would let me know never ever heard back."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.6,197,http://www.americanaironline.com/,https://maps.google.com/?cid=2657093240489206799&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ALL Plumbing Company | Charleston Plumbers,,ALL Plumbing Company | Charleston Plumbers,(843) 761-8002,Charleston,South Carolina,Lead,A - Signal,plumber,yes,no_show,"They also said they showed up, I was home didn’t see anybody, no doorbell or knock.","A) Saw a recent review say: ""They also said they showed up, I was home didn’t see anybody, no doorbell or knock."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.6,178,https://www.allplumbingcompany.com/,https://maps.google.com/?cid=16769825555856582859&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Barrus Heating & Air,,Barrus Heating & Air,(843) 871-1030,Summerville,South Carolina,Lead,A - Signal,hvac,yes,"scheduling, slow_response",the day before my appointment which I had scheduled for preseason to avoid any emergencies they called to reschedule me for their convenience because they didn’t have anybody to send out,"A) Saw a recent review say: ""the day before my appointment which I had scheduled for preseason to avoid any emergencies they called to reschedule me for their convenienc"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.8,178,,https://maps.google.com/?cid=9138016738843745386&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
"Affordable Plumbing, LLC",,"Affordable Plumbing, LLC",(803) 663-9429,Aiken,South Carolina,Lead,A - Signal,plumber,yes,"no_show, slow_response",Made me wait a week for the work. Never called or showed up to my home for a scheduled service.,"A) Saw a recent review say: ""Made me wait a week for the work. Never called or showed up to my home for a scheduled service."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.5,168,https://www.affordableplumbing.info/,https://maps.google.com/?cid=1402968223131823872&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Air Pros Heating and Cooling,,Air Pros Heating and Cooling,(843) 225-6052,Charleston,South Carolina,Lead,A - Signal,hvac,yes,"missed_calls, slow_response","Tried over 5 times to get a response... Not a call back, nothing.","A) Saw a recent review say: ""Tried over 5 times to get a response... Not a call back, nothing."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.8,155,https://airproscooling.com/,https://maps.google.com/?cid=2959326301694451527&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Williford Roofing & Construction,,Williford Roofing & Construction,(843) 760-9500,Charleston,South Carolina,Lead,A - Signal,roofing,yes,slow_response,Williford Roofing has been dragging this out for over a year!,"A) Saw a recent review say: ""Williford Roofing has been dragging this out for over a year!"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.2,155,http://www.willifordroofing.com/,https://maps.google.com/?cid=11035768059954707805&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Southern Seasons Heating & Air Conditioning,,Southern Seasons Heating & Air Conditioning,(803) 837-4115,Mount Pleasant,South Carolina,Lead,A - Signal,hvac,yes,"missed_calls, slow_response",My husband tried to get in touch with Claude on Sunday but never heard back.,"A) Saw a recent review say: ""My husband tried to get in touch with Claude on Sunday but never heard back."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.8,134,http://www.southernseasonshvac.com/,https://maps.google.com/?cid=5480343875558116799&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Mighty Dog Roofing Greenville,,Mighty Dog Roofing Greenville,(864) 551-4253,Greenville,South Carolina,Lead,A - Signal,roofing,yes,slow_response,They arrived promptly and stated they would provide an estimate with in 2 business days. That did not occur as it took 2 full weeks to get the estimate,"A) Saw a recent review say: ""They arrived promptly and stated they would provide an estimate with in 2 business days. That did not occur as it took 2 full weeks to get t"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.8,127,https://www.mightydogroofing.com/greenville-sc/?frlocid=mdr-100&utm_source=gbp&utm_medium=organic+search,https://maps.google.com/?cid=13056534659486697934&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Gray’s Heating & Air Conditioning,,Gray’s Heating & Air Conditioning,(843) 689-3111,Hilton Head,South Carolina,Lead,A - Signal,hvac,yes,"missed_calls, slow_response, communication",I had to call repeatedly throughout the process to get any information,"A) Saw a recent review say: ""I had to call repeatedly throughout the process to get any information"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.7,123,https://graysinc.com/,https://maps.google.com/?cid=11691797625404047258&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ProLectric,,ProLectric,(912) 210-1100,Hilton Head,South Carolina,Lead,A - Signal,electrician,yes,scheduling,They called me 25 minutes before my appointment to say an electrician called out sick and they couldn't honor the appointment.,"A) Saw a recent review say: ""They called me 25 minutes before my appointment to say an electrician called out sick and they couldn't honor the appointment."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.7,119,http://www.prolectric.net/,https://maps.google.com/?cid=12367826148155866253&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
"Mack Heating & Cooling, Inc.",,"Mack Heating & Cooling, Inc.",(803) 996-4791,Columbia,South Carolina,Lead,A - Signal,hvac,yes,"missed_calls, slow_response",the only messages I received were the ones asking if I wanted to renew the yearly service agreement,"A) Saw a recent review say: ""the only messages I received were the ones asking if I wanted to renew the yearly service agreement"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.8,116,http://www.mackheatingandcooling.com/,https://maps.google.com/?cid=3772855364191778239&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
"All About Garage Doors & More, LLC",,"All About Garage Doors & More, LLC",(843) 514-8913,Charleston,South Carolina,Lead,A - Signal,garage_door,yes,slow_response,"despite saying he would reach out to us to schedule the repair, he never did. After reaching out to him on multiple occasions","A) Saw a recent review say: ""despite saying he would reach out to us to schedule the repair, he never did. After reaching out to him on multiple occasions"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.4,115,https://allaboutgaragedoorsmore.com/,https://maps.google.com/?cid=16750972194793939351&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
A Good Plumber,,A Good Plumber,(843) 847-1968,Goose Creek,South Carolina,Lead,A - Signal,plumber,yes,"no_show, communication",Noone showed or called. Again no-show and no call. They just hung up the phone without saying anything.,"A) Saw a recent review say: ""Noone showed or called. Again no-show and no call. They just hung up the phone without saying anything."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.3,105,http://charlestonplumbing.co/,https://maps.google.com/?cid=4964442622594682619&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Sumter Utilities Inc,,Sumter Utilities Inc,(803) 469-8585,Sumter,South Carolina,Lead,A - Signal,electrician,yes,slow_response,"I made a claim with them, they consistently said they would send someone to “investigate” and it just never happened.","A) Saw a recent review say: ""I made a claim with them, they consistently said they would send someone to “investigate” and it just never happened."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",3.6,102,http://www.sumter-utilities.com/,https://maps.google.com/?cid=1921032579828202918&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
"Neely Brothers Construction and Plumbing, LLC",,"Neely Brothers Construction and Plumbing, LLC",(803) 487-9619,Rock Hill,South Carolina,Lead,A - Signal,plumber,yes,"scheduling, no_show, slow_response",Took Friday off from work to wait for a plumber to arrive at 1pm... they left said they had somewhere else the needed to be.,"A) Saw a recent review say: ""Took Friday off from work to wait for a plumber to arrive at 1pm... they left said they had somewhere else the needed to be."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.7,99,https://www.neelybrothers.com/,https://maps.google.com/?cid=5682668178908753691&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Dave's Roofing,,Dave's Roofing,(864) 574-7638,Spartanburg,South Carolina,Lead,A - Signal,roofing,yes,"scheduling, no_show, slow_response",the service provider was 2 hrs. late and did not repair the shingle,"A) Saw a recent review say: ""the service provider was 2 hrs. late and did not repair the shingle"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.5,97,https://davesroofingonline.com/,https://maps.google.com/?cid=18196560850999292498&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Roofing Educators,,Roofing Educators,(843) 996-6608,Summerville,South Carolina,Lead,A - Signal,roofing,yes,"missed_calls, slow_response",the communication was not there after Jamal came and picked up the insurance check. Two my husband and I had to keep calling him,"A) Saw a recent review say: ""the communication was not there after Jamal came and picked up the insurance check. Two my husband and I had to keep calling him"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.7,91,https://www.roofeducators.com/locations/summerville-sc/,https://maps.google.com/?cid=5596462355280772038&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Champion Services Inc.,,Champion Services Inc.,(803) 329-7898,Rock Hill,South Carolina,Lead,A - Signal,roofing,yes,slow_response,Jacob ghosted me!,"A) Saw a recent review say: ""Jacob ghosted me!"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",3.9,84,http://www.championservicesinc.com/,https://maps.google.com/?cid=1484747479426130504&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Mia's Master Plumbing,,Mia's Master Plumbing,(843) 274-9707,Myrtle Beach,South Carolina,Lead,A - Signal,plumber,yes,"slow_response, communication",we chase him to give us the filter catalog and he never responded,"A) Saw a recent review say: ""we chase him to give us the filter catalog and he never responded"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.9,74,https://www.masterplumbingsc.com/,https://maps.google.com/?cid=8595276911211209995&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Alpha Air Heating and Cooling,,Alpha Air Heating and Cooling,(843) 704-5780,Summerville,South Carolina,Lead,A - Signal,hvac,yes,"scheduling, no_show, slow_response",No one showed up and they won't return my calls or texts.,"A) Saw a recent review say: ""No one showed up and they won't return my calls or texts."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.4,73,https://www.alphaairheatingandcooling.com/hvac-summerville-sc,https://maps.google.com/?cid=2858979357133931364&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Keith's House Of Plumbing,,Keith's House Of Plumbing,(843) 524-7361,Beaufort,South Carolina,Lead,A - Signal,plumber,yes,"missed_calls, slow_response",Never fixed the problem or called back to talk about additional work needed.,"A) Saw a recent review say: ""Never fixed the problem or called back to talk about additional work needed."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.7,72,http://keithsplumbing.net/,https://maps.google.com/?cid=6368965909809292932&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Ridge Roof Restoration,,Ridge Roof Restoration,(864) 399-5718,Spartanburg,South Carolina,Lead,A - Signal,roofing,yes,communication,"he brushed me off and said oh yeah, that's a mistake","A) Saw a recent review say: ""he brushed me off and said oh yeah, that's a mistake"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.9,70,https://www.ridgeroof.com/,https://maps.google.com/?cid=8890449646240918562&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Polk Electric LLC,,Polk Electric LLC,(803) 324-5000,Rock Hill,South Carolina,Lead,A - Signal,electrician,yes,"slow_response, communication",After waiting 2 weeks to have someone come and survey a job for me I never heard back from them with a quote.,"A) Saw a recent review say: ""After waiting 2 weeks to have someone come and survey a job for me I never heard back from them with a quote."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.3,70,http://www.polkelectric.com/,https://maps.google.com/?cid=8098898521789163685&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Palmetto Heating & Air LLC,,Palmetto Heating & Air LLC,(864) 651-9003,Greenville,South Carolina,Lead,A - Signal,hvac,yes,"missed_calls, slow_response",You can NEVER get a call back from this company.,"A) Saw a recent review say: ""You can NEVER get a call back from this company."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.8,68,https://palmettoac.com/,https://maps.google.com/?cid=13248583052234476314&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Mighty Dog Roofing of Greenville,,Mighty Dog Roofing of Greenville,(864) 664-2060,Greenville,South Carolina,Lead,A - Signal,roofing,yes,"scheduling, slow_response, communication",After I agreed the there price and signed some paperwork I was ghosted and had to call multiple times to get them to schedule my install.,"A) Saw a recent review say: ""After I agreed the there price and signed some paperwork I was ghosted and had to call multiple times to get them to schedule my install."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.5,67,https://www.mightydogroofing.com/greenville?frlocid=mdr-100&utm_source=gbp&utm_medium=organic+search,https://maps.google.com/?cid=17977489306044873942&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Southeastern Garage Doors Inc,,Southeastern Garage Doors Inc,(843) 749-8896,Charleston,South Carolina,Lead,A - Signal,garage_door,yes,"scheduling, communication",Give a customer a price then tell them it’s the wrong price,"A) Saw a recent review say: ""Give a customer a price then tell them it’s the wrong price"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.7,58,https://www.southeasterngaragedoors.com/?utm_source=localfx&utm_medium=organic&utm_campaign=localfx,https://maps.google.com/?cid=6927416332984958932&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Prosser's Septic Tank Service (Sand & Gravel),,Prosser's Septic Tank Service (Sand & Gravel),(803) 646-1176,Aiken,South Carolina,Lead,A - Signal,plumber,yes,"missed_calls, scheduling, no_show, slow_response, communication","waited until 4 o’clock called and got the answering service, was told someone would call me back ASAP. At 5 o’clock I called back again, got the answering service","A) Saw a recent review say: ""waited until 4 o’clock called and got the answering service, was told someone would call me back ASAP. At 5 o’clock I called back again, got"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.3,54,,https://maps.google.com/?cid=16408030712099459445&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
"Bill Kirkland Heating and Air Conditioning, Inc.",,"Bill Kirkland Heating and Air Conditioning, Inc.",(864) 573-9426,Spartanburg,South Carolina,Lead,A - Signal,hvac,yes,"missed_calls, slow_response",I've been waiting 5 months for a part to be installed because they blew me off until the warranty expired. No return calls from them.,"A) Saw a recent review say: ""I've been waiting 5 months for a part to be installed because they blew me off until the warranty expired. No return calls from them."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.4,47,http://www.billkirklandhvac.com/,https://maps.google.com/?cid=2235026941500629837&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Price Roofing LLC,,Price Roofing LLC,(864) 978-8419,Spartanburg,South Carolina,Lead,A - Signal,roofing,yes,"scheduling, slow_response",he never came by or called to give us any information,"A) Saw a recent review say: ""he never came by or called to give us any information"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.9,46,https://priceroofingllc.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,https://maps.google.com/?cid=3294508004674430601&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Powers Roofing & Home Services,,Powers Roofing & Home Services,(803) 900-5752,Sumter,South Carolina,Lead,A - Signal,roofing,yes,"missed_calls, slow_response",I have sent multiple emails and a voice mail messsge and have not received any any reply.,"A) Saw a recent review say: ""I have sent multiple emails and a voice mail messsge and have not received any any reply."" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.4,46,https://www.powersroofingsc.com/,https://maps.google.com/?cid=991019472135030012&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
American Electric And Plumbing,,American Electric And Plumbing,(843) 839-9069,Myrtle Beach,South Carolina,Lead,A - Signal,plumber,yes,slow_response,he kept delaying the job was a total nightmare to work with,"A) Saw a recent review say: ""he kept delaying the job was a total nightmare to work with"" — that's costing you jobs, and it's exactly what I fix. Got 20 seconds?",4.9,45,http://goamericansc.com/,https://maps.google.com/?cid=10882772219274187448&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
