day,date,week,weekly_theme,platform,format,pillar,topic,angle,cta,asset_needed,metric
17,2026-06-17,Week 3,Solution exploration: form vs chatbot vs enrichment vs routing,LinkedIn carousel + X thread,LinkedIn carousel or infographic,Framework / checklist,"Decision tree: when you need chat, routing, enrichment, or all three",Carousel.,Save this / use the checklist,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
18,2026-06-18,Week 3,Solution exploration: form vs chatbot vs enrichment vs routing,LinkedIn proof post + Loom,"Case study, teardown, or customer/prospect example",Proof asset,Teardown: contact form with routing but no buyer intelligence,Show gap between routing and context.,Want me to teardown yours?,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
19,2026-06-19,Week 3,Solution exploration: form vs chatbot vs enrichment vs routing,LinkedIn BTS + Instagram story,Behind-the-scenes build note,Build in public,BTS: why one script tag matters for the beta,Reduce implementation anxiety.,Follow the build / beta list,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
20,2026-06-20,Week 3,Solution exploration: form vs chatbot vs enrichment vs routing,LinkedIn question + X,Community prompt or founder question,Conversation starter,Question: would you rather have faster routing or better pre-call context?,Engagement poll.,Reply with your form or CRM,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
21,2026-06-21,Week 3,Solution exploration: form vs chatbot vs enrichment vs routing,Email newsletter + LinkedIn recap,Weekly recap + newsletter,Digest / nurture,Weekly recap: the form stack is fragmented,Explain market gap.,Join weekly GTM teardown email,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
22,2026-06-22,Week 4,"Why now: Drift gap, Qualified enterprise shift, mid-market opening",LinkedIn + blog,LinkedIn text post + blog/essay,Educational POV,Why the mid-market has an inbound gap right now,Drift/Qualified shift without overclaiming.,"Comment ""form"" or DM for teardown / book teardown",none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
23,2026-06-23,Week 4,"Why now: Drift gap, Qualified enterprise shift, mid-market opening",LinkedIn video + YouTube Short,Short video / Loom teardown clip,Visual demo,Video: the opening for founder-led B2B teams after enterprise chat moved upmarket,Market timing explainer.,Watch the full teardown / book teardown,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
24,2026-06-24,Week 4,"Why now: Drift gap, Qualified enterprise shift, mid-market opening",LinkedIn carousel + X thread,LinkedIn carousel or infographic,Framework / checklist,"Market map: forms, chat, enrichment, routing, CRM",Infographic.,Save this / use the checklist,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
25,2026-06-25,Week 4,"Why now: Drift gap, Qualified enterprise shift, mid-market opening",LinkedIn proof post + Loom,"Case study, teardown, or customer/prospect example",Proof asset,Case angle: what happens when tools are technically available but too heavy,Founder-led pain story.,Want me to teardown yours?,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
26,2026-06-26,Week 4,"Why now: Drift gap, Qualified enterprise shift, mid-market opening",LinkedIn BTS + Instagram story,Behind-the-scenes build note,Build in public,BTS: choosing managed install over another SaaS dashboard,Explain service wedge.,Follow the build / beta list,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
27,2026-06-27,Week 4,"Why now: Drift gap, Qualified enterprise shift, mid-market opening",LinkedIn question + X,Community prompt or founder question,Conversation starter,Question: what tool did your team buy that never became a workflow?,Community prompt.,Reply with your form or CRM,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
28,2026-06-28,Week 4,"Why now: Drift gap, Qualified enterprise shift, mid-market opening",Email newsletter + LinkedIn recap,Weekly recap + newsletter,Digest / nurture,"Weekly POV: AI should close workflow gaps, not add another inbox",Newsletter.,Join weekly GTM teardown email,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
29,2026-06-29,Week 5,Authority: speed-to-lead and sales context,LinkedIn + blog,LinkedIn text post + blog/essay,Educational POV,Speed-to-lead is overrated if the rep still calls blind,Teach context + speed.,"Comment ""form"" or DM for teardown / book teardown",none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
30,2026-06-30,Week 5,Authority: speed-to-lead and sales context,LinkedIn video + YouTube Short,Short video / Loom teardown clip,Visual demo,Video: 2-minute callback prep from an enriched profile,Demo rep workflow.,Watch the full teardown / book teardown,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
31,2026-07-01,Week 5,Authority: speed-to-lead and sales context,LinkedIn carousel + X thread,LinkedIn carousel or infographic,Framework / checklist,"Metric map: response time, context quality, meeting quality, cycle time",Carousel.,Save this / use the checklist,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
32,2026-07-02,Week 5,Authority: speed-to-lead and sales context,LinkedIn proof post + Loom,"Case study, teardown, or customer/prospect example",Proof asset,"Teardown: a lead comes in at 5pm, what should the rep know?",Scenario content.,Want me to teardown yours?,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
33,2026-07-03,Week 5,Authority: speed-to-lead and sales context,LinkedIn BTS + Instagram story,Behind-the-scenes build note,Build in public,BTS: building the follow-up recommendation field,Show practical implementation.,Follow the build / beta list,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
34,2026-07-04,Week 5,Authority: speed-to-lead and sales context,LinkedIn question + X,Community prompt or founder question,Conversation starter,Question: what makes a lead worth calling first?,Get buyer language.,Reply with your form or CRM,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
35,2026-07-05,Week 5,Authority: speed-to-lead and sales context,Email newsletter + LinkedIn recap,Weekly recap + newsletter,Digest / nurture,Weekly recap: better callbacks beat faster blind callbacks,Digest.,Join weekly GTM teardown email,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
36,2026-07-06,Week 6,Authority: RevOps-lite for founder-led B2B,LinkedIn + blog,LinkedIn text post + blog/essay,Educational POV,Founder-led B2B does not need enterprise RevOps. It needs context on every lead.,Sharpen ICP.,"Comment ""form"" or DM for teardown / book teardown",none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
37,2026-07-07,Week 6,Authority: RevOps-lite for founder-led B2B,LinkedIn video + YouTube Short,Short video / Loom teardown clip,Visual demo,"Video: no RevOps team, no SDR team, still cleaner inbound",Small-team angle.,Watch the full teardown / book teardown,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
38,2026-07-08,Week 6,Authority: RevOps-lite for founder-led B2B,LinkedIn carousel + X thread,LinkedIn carousel or infographic,Framework / checklist,Checklist: signs you are ready for an AI contact form beta,Qualification content.,Save this / use the checklist,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
39,2026-07-09,Week 6,Authority: RevOps-lite for founder-led B2B,LinkedIn proof post + Loom,"Case study, teardown, or customer/prospect example",Proof asset,Mini case: founder handles inbound personally and needs richer context,Example story.,Want me to teardown yours?,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
40,2026-07-10,Week 6,Authority: RevOps-lite for founder-led B2B,LinkedIn BTS + Instagram story,Behind-the-scenes build note,Build in public,BTS: why we are starting with 5 beta clients manually,Trust-building honesty.,Follow the build / beta list,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
41,2026-07-11,Week 6,Authority: RevOps-lite for founder-led B2B,LinkedIn question + X,Community prompt or founder question,Conversation starter,Question: who owns inbound follow-up on your team?,Engagement.,Reply with your form or CRM,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
42,2026-07-12,Week 6,Authority: RevOps-lite for founder-led B2B,Email newsletter + LinkedIn recap,Weekly recap + newsletter,Digest / nurture,Weekly guide: RevOps-lite for small B2B teams,Newsletter.,Join weekly GTM teardown email,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
43,2026-07-13,Week 7,Proof: teardown-driven selling,LinkedIn + blog,LinkedIn text post + blog/essay,Educational POV,"The best cold outreach is a finished teardown, not a pitch",Explain teardown wedge.,"Comment ""form"" or DM for teardown / book teardown",none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
44,2026-07-14,Week 7,Proof: teardown-driven selling,LinkedIn video + YouTube Short,Short video / Loom teardown clip,Visual demo,Video: how to audit a demo form in 90 seconds,Show the process.,Watch the full teardown / book teardown,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
45,2026-07-15,Week 7,Proof: teardown-driven selling,LinkedIn carousel + X thread,LinkedIn carousel or infographic,Framework / checklist,"Teardown scorecard: form friction, missing fields, enrichment gap, CRM handoff",Carousel.,Save this / use the checklist,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
46,2026-07-16,Week 7,Proof: teardown-driven selling,LinkedIn proof post + Loom,"Case study, teardown, or customer/prospect example",Proof asset,Published teardown: Revenova-style contact form audit,Use existing asset if approved.,Want me to teardown yours?,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
47,2026-07-17,Week 7,Proof: teardown-driven selling,LinkedIn BTS + Instagram story,Behind-the-scenes build note,Build in public,BTS: turning teardowns into Looms without sounding scammy,Creator/process content.,Follow the build / beta list,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
48,2026-07-18,Week 7,Proof: teardown-driven selling,LinkedIn question + X,Community prompt or founder question,Conversation starter,Question: would you watch a teardown of your own form?,Market test.,Reply with your form or CRM,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
49,2026-07-19,Week 7,Proof: teardown-driven selling,Email newsletter + LinkedIn recap,Weekly recap + newsletter,Digest / nurture,Weekly recap: proof beats case studies when you have no logos yet,Digest.,Join weekly GTM teardown email,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
50,2026-07-20,Week 8,Proof: live dossiers and before/after profiles,LinkedIn + blog,LinkedIn text post + blog/essay,Educational POV,A full buyer profile is the new thank-you page,Strong POV.,"Comment ""form"" or DM for teardown / book teardown",none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
51,2026-07-21,Week 8,Proof: live dossiers and before/after profiles,LinkedIn video + YouTube Short,Short video / Loom teardown clip,Visual demo,Video: sample live dossier walkthrough,Use Hightouch/Revenova sample asset.,Watch the full teardown / book teardown,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
52,2026-07-22,Week 8,Proof: live dossiers and before/after profiles,LinkedIn carousel + X thread,LinkedIn carousel or infographic,Framework / checklist,Before/after: contact form submission vs AI-built profile,Visual post.,Save this / use the checklist,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
53,2026-07-23,Week 8,Proof: live dossiers and before/after profiles,LinkedIn proof post + Loom,"Case study, teardown, or customer/prospect example",Proof asset,Example: how enrichment changes the first sales question,Show improved callback.,Want me to teardown yours?,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
54,2026-07-24,Week 8,Proof: live dossiers and before/after profiles,LinkedIn BTS + Instagram story,Behind-the-scenes build note,Build in public,BTS: designing dossiers reps will actually read,UX/content product thinking.,Follow the build / beta list,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
55,2026-07-25,Week 8,Proof: live dossiers and before/after profiles,LinkedIn question + X,Community prompt or founder question,Conversation starter,Question: what would you want at the top of a lead dossier?,Crowdsource.,Reply with your form or CRM,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
56,2026-07-26,Week 8,Proof: live dossiers and before/after profiles,Email newsletter + LinkedIn recap,Weekly recap + newsletter,Digest / nurture,Weekly roundup: 5 profile fields that change sales behavior,Newsletter.,Join weekly GTM teardown email,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
57,2026-07-27,Week 9,Product education: how the AI contact form works,LinkedIn + blog,LinkedIn text post + blog/essay,Educational POV,How the Dealthreads AI Contact Form works in plain English,Product education without jargon.,"Comment ""form"" or DM for teardown / book teardown",none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
58,2026-07-28,Week 9,Product education: how the AI contact form works,LinkedIn video + YouTube Short,Short video / Loom teardown clip,Visual demo,Video: single script tag -> conversation -> enrichment -> CRM,Product demo.,Watch the full teardown / book teardown,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
59,2026-07-29,Week 9,Product education: how the AI contact form works,LinkedIn carousel + X thread,LinkedIn carousel or infographic,Framework / checklist,"Architecture diagram: widget, enrichment, scoring, CRM, rep alert",Infographic.,Save this / use the checklist,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
60,2026-07-30,Week 9,Product education: how the AI contact form works,LinkedIn proof post + Loom,"Case study, teardown, or customer/prospect example",Proof asset,Workflow example: pricing page visitor becomes a routed buyer profile,Scenario.,Want me to teardown yours?,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
61,2026-07-31,Week 9,Product education: how the AI contact form works,LinkedIn BTS + Instagram story,Behind-the-scenes build note,Build in public,BTS: what we install manually for beta clients,Reduce risk.,Follow the build / beta list,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
62,2026-08-01,Week 9,Product education: how the AI contact form works,LinkedIn question + X,Community prompt or founder question,Conversation starter,Question: what CRM should we prioritize first?,HubSpot vs Salesforce vs Pipedrive.,Reply with your form or CRM,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
63,2026-08-02,Week 9,Product education: how the AI contact form works,Email newsletter + LinkedIn recap,Weekly recap + newsletter,Digest / nurture,Weekly product guide: from dead form to buyer profile engine,Newsletter.,Join weekly GTM teardown email,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
64,2026-08-03,Week 10,Product education: implementation and risk reduction,LinkedIn + blog,LinkedIn text post + blog/essay,Educational POV,The honest risks of AI lead enrichment,"Trust content: accuracy, privacy, integration.","Comment ""form"" or DM for teardown / book teardown",none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
65,2026-08-04,Week 10,Product education: implementation and risk reduction,LinkedIn video + YouTube Short,Short video / Loom teardown clip,Visual demo,Video: what the system can and cannot know,Unknown fields shown honestly.,Watch the full teardown / book teardown,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
66,2026-08-05,Week 10,Product education: implementation and risk reduction,LinkedIn carousel + X thread,LinkedIn carousel or infographic,Framework / checklist,"FAQ carousel: data privacy, hallucination, CRM sync, API costs, ownership",Objection handling.,Save this / use the checklist,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
67,2026-08-06,Week 10,Product education: implementation and risk reduction,LinkedIn proof post + Loom,"Case study, teardown, or customer/prospect example",Proof asset,Case: why unknown is better than fake confidence,Trust story.,Want me to teardown yours?,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
68,2026-08-07,Week 10,Product education: implementation and risk reduction,LinkedIn BTS + Instagram story,Behind-the-scenes build note,Build in public,BTS: building with human approval and source links,Credibility.,Follow the build / beta list,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
69,2026-08-08,Week 10,Product education: implementation and risk reduction,LinkedIn question + X,Community prompt or founder question,Conversation starter,Question: what would make you trust an AI-built lead profile?,Objection mining.,Reply with your form or CRM,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
70,2026-08-09,Week 10,Product education: implementation and risk reduction,Email newsletter + LinkedIn recap,Weekly recap + newsletter,Digest / nurture,Weekly recap: trust rules for AI in sales workflows,Newsletter.,Join weekly GTM teardown email,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
71,2026-08-10,Week 11,Conversion: pilot offer and objection handling,LinkedIn + blog,LinkedIn text post + blog/essay,Educational POV,We are opening 5 beta installs. Here is who should apply.,Conversion post.,"Comment ""form"" or DM for teardown / book teardown",none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
72,2026-08-11,Week 11,Conversion: pilot offer and objection handling,LinkedIn video + YouTube Short,Short video / Loom teardown clip,Visual demo,Video: what happens in the free teardown call,Set expectations.,Watch the full teardown / book teardown,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
73,2026-08-12,Week 11,Conversion: pilot offer and objection handling,LinkedIn carousel + X thread,LinkedIn carousel or infographic,Framework / checklist,Pilot offer breakdown: free install / pay when profiles are landing,"Carousel, if offer remains approved.",Save this / use the checklist,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
74,2026-08-13,Week 11,Conversion: pilot offer and objection handling,LinkedIn proof post + Loom,"Case study, teardown, or customer/prospect example",Proof asset,"Objection: ""we already have HubSpot/Intercom/Clay""",Comparison post.,Want me to teardown yours?,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
75,2026-08-14,Week 11,Conversion: pilot offer and objection handling,LinkedIn BTS + Instagram story,Behind-the-scenes build note,Build in public,BTS: beta onboarding checklist,Show seriousness.,Follow the build / beta list,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
76,2026-08-15,Week 11,Conversion: pilot offer and objection handling,LinkedIn question + X,Community prompt or founder question,Conversation starter,Question: want a free teardown of your contact form?,Direct CTA.,Reply with your form or CRM,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
77,2026-08-16,Week 11,Conversion: pilot offer and objection handling,Email newsletter + LinkedIn recap,Weekly recap + newsletter,Digest / nurture,Weekly beta note: what the first five clients get,Newsletter.,Join weekly GTM teardown email,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
78,2026-08-17,Week 12,"Conversion: social proof, beta slots, urgency",LinkedIn + blog,LinkedIn text post + blog/essay,Educational POV,What we learned from the first teardown calls,Share learning without inventing wins.,"Comment ""form"" or DM for teardown / book teardown",none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
79,2026-08-18,Week 12,"Conversion: social proof, beta slots, urgency",LinkedIn video + YouTube Short,Short video / Loom teardown clip,Visual demo,Video: 3 patterns we keep seeing in B2B demo forms,Pattern content.,Watch the full teardown / book teardown,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
80,2026-08-19,Week 12,"Conversion: social proof, beta slots, urgency",LinkedIn carousel + X thread,LinkedIn carousel or infographic,Framework / checklist,"Proof board: screenshots, anonymized snippets, before/after examples",Visual proof.,Save this / use the checklist,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
81,2026-08-20,Week 12,"Conversion: social proof, beta slots, urgency",LinkedIn proof post + Loom,"Case study, teardown, or customer/prospect example",Proof asset,Beta client story or anonymized prospect teardown,Social proof when available.,Want me to teardown yours?,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
82,2026-08-21,Week 12,"Conversion: social proof, beta slots, urgency",LinkedIn BTS + Instagram story,Behind-the-scenes build note,Build in public,BTS: what changed in the product after real calls,Iteration content.,Follow the build / beta list,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
83,2026-08-22,Week 12,"Conversion: social proof, beta slots, urgency",LinkedIn question + X,Community prompt or founder question,Conversation starter,"Question: should the next vertical be freight, SaaS, or B2B services?",Audience involvement.,Reply with your form or CRM,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
84,2026-08-23,Week 12,"Conversion: social proof, beta slots, urgency",Email newsletter + LinkedIn recap,Weekly recap + newsletter,Digest / nurture,Weekly proof digest: strongest patterns from beta outreach,Newsletter.,Join weekly GTM teardown email,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
85,2026-08-24,Week 13,Review and compounding content,LinkedIn + blog,LinkedIn text post + blog/essay,Educational POV,"The next version of Dealthreads is being built from real forms, not guesses",Compounding lesson.,"Comment ""form"" or DM for teardown / book teardown",none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
86,2026-08-25,Week 13,Review and compounding content,LinkedIn video + YouTube Short,Short video / Loom teardown clip,Visual demo,Video: 90-day recap of what we built and learned,Authority recap.,Watch the full teardown / book teardown,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
87,2026-08-26,Week 13,Review and compounding content,LinkedIn carousel + X thread,LinkedIn carousel or infographic,Framework / checklist,Playbook: how to audit your own inbound form in 20 minutes,Lead magnet content.,Save this / use the checklist,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
88,2026-08-27,Week 13,Review and compounding content,LinkedIn proof post + Loom,"Case study, teardown, or customer/prospect example",Proof asset,Case/postmortem: what did not work in the first 90 days,Trust-building honesty.,Want me to teardown yours?,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
89,2026-08-28,Week 13,Review and compounding content,LinkedIn BTS + Instagram story,Behind-the-scenes build note,Build in public,BTS: packaging the repeatable GTM engine,Connect to larger Dealthreads story.,Follow the build / beta list,screenshot/demo/teardown,"qualified replies, teardown requests, saves, comments, email signups"
90,2026-08-29,Week 13,Review and compounding content,LinkedIn question + X,Community prompt or founder question,Conversation starter,Question: who should we build the next teardown for?,Pipeline prompt.,Reply with your form or CRM,none or light visual,"qualified replies, teardown requests, saves, comments, email signups"
