rank,company,website,form_url,segment,employee_estimate,fit_score,buying_signals,evidence_url,suspected_crm_form_tooling,contact_persona,linkedin_company_url,teardown_angle,personalized_opener,next_action_status,owner,loom_url,message_sent_date,last_touch_date,reply_summary,next_human_action,notes
15,MIE Solutions,https://mie-solutions.com,https://mie-solutions.com/job-shop-software/,Manufacturing/job shop ERP,~50-100,80,Job shop software; request demo; older/operational market less saturated by AI GTM vendors,https://mie-solutions.com/job-shop-software/,Unknown,Owner/sales leader,https://www.linkedin.com/company/mie-solutions/,"Job shops need process type, current ERP/spreadsheets, job volume, quoting bottlenecks, and timeline.",Saw MIE’s job-shop software demo path. These buyers carry a lot of operational context that a basic form probably misses. Want me to send a 2-min teardown of what sales should see before callback?,TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,
16,Raken,https://www.rakenapp.com,https://www.rakenapp.com/,Construction field reporting SaaS,~100-200,79,Construction software; demo/trial motion; high enough ACV; slightly larger but good vertical proof,https://www.rakenapp.com/,Unknown,Sales/growth leader,https://www.linkedin.com/company/rakenapp/,"Construction field-app demos need contractor type, project volume, current reporting workflow, and urgency.","Looked at Raken’s construction software motion. The rep likely needs project/contractor context before the call, not just contact info. Want me to send a quick teardown of what a buyer profile could include?",TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,
17,Hyperproof,https://hyperproof.io,https://hyperproof.io/,GRC/compliance SaaS,~100-200,78,Get Demo; compliance high ACV; may be above ideal; good comparison/benchmark target,https://hyperproof.io/,Unknown,Growth/sales leader,https://www.linkedin.com/company/hyperproof/,"GRC demos need framework, audit date, team size, current system, and risk priorities.",Saw Hyperproof’s GRC demo motion. Compliance buyer context is too important to leave until after submit. Want a quick teardown of what your form could give the rep before callback?,TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,
18,Healthie,https://www.gethealthie.com,https://www.gethealthie.com/see-a-demo,Healthcare platform SaaS,~100-200,78,Healthcare ops; demo page; ACV likely; maybe larger but good market signal,https://www.gethealthie.com/see-a-demo,Unknown,Growth/sales leader,https://www.linkedin.com/company/gethealthie/,"Healthcare platform demos need provider type, team size, specialty, current system, compliance needs, and urgency.",Looked at Healthie’s demo path. Healthcare platform leads need a lot of specialty/context before sales follows up. Want me to send a quick teardown of the buyer-profile gap?,TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,
19,Opsima,https://opsima.com,https://opsima.com/,CMMS/operations software,~10-50,77,CMMS/operations; co-founder visible in search result; request-demo language in content; low-key vertical,https://opsima.com/blog/operational-insights/what-is-cmms-software/,Unknown,Co-founder/operator,https://www.linkedin.com/company/opsima/,"Maintenance demo should capture asset count, facility type, current CMMS/spreadsheets, downtime pain, and timeline.","Saw Opsima’s CMMS content and demo CTA. Maintenance buyers have a ton of context a basic form usually misses: assets, downtime pain, current workflow. Want a 2-min teardown?",TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,
20,Kertos,https://www.kertos.io,https://www.kertos.io/en,Compliance automation SaaS,~10-75,77,Compliance automation; CEO/co-founder visible in search; EU/regulatory context; likely founder-led,https://www.kertos.io/en/blog/compliance-automation-how-ai-and-expert-knowledge-are-revolutionizing-the-industry,Unknown,CEO/co-founder,https://www.linkedin.com/company/kertos/,"Regulatory demos need region, framework, urgency, company size, current stack, and implementation timeline.","Saw Kertos’ compliance automation angle. For these leads, the form submit should tell sales which regulation/framework, urgency, and current process before callback. Want a quick teardown?",TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,
21,Parade,https://www.parade.ai,https://www.parade.ai/demo-center,Freight AI / capacity management,~100-200,76,Freight AI; demo center; strong category but may be too AI/GTM-saturated; use as learning/benchmark,https://www.parade.ai/demo-center,Unknown,Growth/sales leader,https://www.linkedin.com/company/parade-ai/,"Freight AI demos need broker profile, lanes, TMS, volume, use case, and urgency.",Saw Parade’s demo center. Freight AI buyers bring a lot of context that should be packaged before sales touches the lead. Want a quick teardown of the profile gap?,TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,
22,ToolWatch / AlignOps,https://alignops.com/toolwatch,https://alignops.com/toolwatch,Construction asset/tool management software,~50-150,76,Construction ops; demo/sales motion; operational buyer; likely high context,https://alignops.com/toolwatch,Unknown,Sales/growth leader,https://www.linkedin.com/company/toolwatch/,"Tool management demos need contractor type, tool/equipment count, warehouse/jobsite workflow, and urgency.","Looked at ToolWatch’s construction ops positioning. A form submit can’t tell sales enough about tool count, jobsite workflow, or urgency. Want me to send a quick teardown of the buyer-profile gap?",TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,
23,Premier Construction Software,https://premiercs.com,https://premiercs.com/book-a-demo,Construction ERP/accounting software,~50-150,75,Book demo; construction ERP; high ACV; operational sale,https://premiercs.com/book-a-demo,Unknown,Sales/growth leader,https://www.linkedin.com/company/premier-construction-software/,"Construction ERP demos need company size, project type, current accounting/ERP, pain area, and migration urgency.","Saw Premier’s book-a-demo flow. ERP buyers need a real profile before the call: project type, current system, urgency, and pain area. Want a quick teardown of what the form could hand sales?",TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,
24,FieldEquip,https://www.fieldequip.com,https://www.fieldequip.com/demo/,Field service cloud software,~10-75,75,Demo page; field service; role dropdown appears in search; vertical workflow,https://www.fieldequip.com/demo/,Unknown,Founder/sales leader,https://www.linkedin.com/company/fieldequip/,"Field service enterprise demos need service type, asset/equipment context, team size, current system, and urgency.","Looked at FieldEquip’s demo page. The rep probably needs service type, team size, current system, and urgency before calling. Want me to send a teardown of how that could be built automatically?",TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,
25,Bullseye,https://www.bullseye.so,https://www.bullseye.so/for-size/startups,Visitor identification SaaS for startups,~10-50,74,Existing target; adjacent website visitor/enrichment category; HubSpot/Pipedrive clue; partner/comparison candidate,https://www.bullseye.so/for-size/startups,HubSpot/Pipedrive mentioned in search result,Founder/growth,https://www.linkedin.com/company/bullseye-so/,Visitor ID says who visited; Dealthreads says what sales should know after explicit demo request.,"Saw Bullseye’s startup visitor-ID angle and HubSpot/Pipedrive positioning. Adjacent thought: after someone actually raises their hand, the form should create a sales-ready profile. Want a quick teardown of that workflow?",TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,
26,Cometly,https://www.cometly.com,https://www.cometly.com/demo,Attribution SaaS,~50-150,73,Existing target; demo page; marketing attribution means inbound/ad spend pain; potentially saturated but strong fit,https://www.cometly.com/demo,CRM/ad stack language,Founder/growth,https://www.linkedin.com/company/cometly/,"Their demo form captures basics, but an attribution buyer profile should include ad stack, spend level, attribution pain, CRM, and urgency.","Looked at Cometly’s demo page. Since you sell into paid acquisition teams, every demo lead probably has hidden context around spend, stack, urgency, and attribution pain. Want a 2-min teardown of what the form could give sales before callback?",TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,
27,Aspire Digital,https://aspiredigital.ai,https://aspiredigital.ai/revops-pricing,HubSpot/RevOps agency,~10-50,72,Existing target; agency can resell; pricing page; not buyer but channel multiplier,https://aspiredigital.ai/revops-pricing,HubSpot/RevOps,Founder/operator,https://www.linkedin.com/company/aspire-digital-ai/,Can productize Dealthreads as “form-to-HubSpot buyer profile” upsell for clients.,Saw Aspire’s RevOps/HubSpot execution packages. One productized upsell idea: fix the demo form before lifecycle/routing — turn every submit into a buyer profile in HubSpot. Want me to send a teardown of how it would fit client work?,TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,
28,ProfitPad,https://www.profitpad.com,https://www.profitpad.com/hubspot-consulting-services,HubSpot consulting agency,~10-50,72,Existing target; talks messy data/routing; channel partner candidate,https://www.profitpad.com/hubspot-consulting-services,HubSpot,Founder/operator,https://www.linkedin.com/company/profitpad/,Their CRM foundation work starts one step earlier: richer inbound submit before HubSpot handoff.,Saw ProfitPad’s HubSpot consulting page around messy data and routing. One gap I’d productize: the form-to-HubSpot handoff before routing even starts. Want a 2-min teardown showing what that could look like for clients?,TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,
29,GrowthSpree,https://www.growthspreeofficial.com,https://www.growthspreeofficial.com/blogs/revops-hubspot-b2b-saas-complete-guide,B2B SaaS HubSpot/RevOps agency,~10-50,70,Existing target; RevOps content; channel candidate; maybe overpitched but relevant,https://www.growthspreeofficial.com/blogs/revops-hubspot-b2b-saas-complete-guide,HubSpot,Founder/operator,https://www.linkedin.com/company/growthspree/,Lead scoring/routing gets better if form submits arrive enriched with buyer profile fields.,"Read the GrowthSpree HubSpot/RevOps guide. It talks scoring/routing, but the input matters too: what does the form give sales before the SLA starts? Want a quick teardown of that angle?",TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,
30,Elance Mind,https://elancemind.com,https://elancemind.com/audit-marketing-sales-handoffs/,Marketing-sales handoff consulting,~10-50,69,Existing target; exact handoff pain; channel/collaboration candidate,https://elancemind.com/audit-marketing-sales-handoffs/,Unknown,Founder/operator,https://www.linkedin.com/company/elancemind/,Their handoff audit can include a “dead form” diagnostic and buyer-profile recommendation.,Saw your marketing-sales handoff audit content. We’re productizing one specific leak: the demo form gives sales too little buyer context. Want me to send a teardown showing how it could fit your audit?,TARGET_FOUND,Ryan,,,,,Review target; verify form; record Loom if top 10,
