company,website,form_url,buyer_name,buyer_role,linkedin_url,segment,company_size,deal_value_guess,crm_guess,weak_form_observation,sales_research_hypothesis,reason_now,fit_score,teardown_priority,outreach_status,teardown_status,next_action,next_action_date,notes
Automation Technology Inc,https://automationtechnologyinc.com,https://automationtechnologyinc.com/index.php/contact/,,Sales Manager / Machine Vision Lead,,Automation distributor and integrator,51-200,High,Unknown,"Contact form routes requests but does not visibly qualify machine vision, robotics, conveyor, material transfer, or lab-testing needs.","solution category, machine vision need, plant process, timeline, budget, and decision stage","Total-solution provider with technical quote intake complexity",5,Teardown first,Not started,Not started,Find sales or machine vision lead and send teardown ask,,Strong form-gap example with visible contact form
DynaRobot,https://www.dynarobot.com/,https://www.dynarobot.com/,,Founder / Sales Lead,,Robotics and mechatronics integrator,1-20,High,Unknown,"Site has contact details but does not visibly collect robotic cell type, service need, industry, installed equipment, or project timeline.","robotic cell type, industry, installed equipment, service need, location, and timeline","Smaller robotics integrator likely has less mature RevOps tooling",5,Teardown first,Not started,Not started,Find founder or sales contact and send teardown ask,,Founder-led profile likely better than SaaS-native targets
Vinco Automation,https://www.vincoautomation.com,https://www.vincoautomation.com/contact,,Owner / Sales Manager,,Industrial automation and vision,11-50,High,Unknown,"Contact form captures basic contact and message but does not visibly collect system type, Cognex/vision need, controls stack, or project urgency.","system type, vision requirement, controls stack, plant location, timeline, and budget","Automation and machine-vision quote requests need richer intake",5,Teardown first,Not started,Not started,Find owner or sales lead and send teardown ask,,Visible form and good machine-vision fit
IPSUMM i2i Engineering,https://www.ipsumm.com,https://www.ipsumm.com/i2i,,Business Development / Engineering Sales,,Factory automation integrator,11-50,High,Unknown,"Contact path does not visibly capture automation cell type, inspection/testing need, packaging process, constraints, or project stage.","automation cell type, inspection/testing need, packaging process, constraints, timeline, and budget","Factory automation projects are custom and need context-rich handoffs",5,Teardown first,Not started,Not started,Find BD or engineering sales lead and send teardown ask,,Good fit via robotics and vision systems
PSA Systems,https://psa-cwx.com/,https://psa-cwx.com/,,President / Sales Manager,,Industrial automation systems integrator,51-200,High,Unknown,"Discuss-project CTA does not visibly pre-qualify robot platform, line stop urgency, mechanical/electrical scope, or support needs.","robot platform, line-stop urgency, mechanical scope, controls scope, facility, and timeline","Their own positioning emphasizes urgent integrator responsiveness",5,Teardown first,Not started,Not started,Find owner or sales lead and send teardown ask,,Strong pain-language match
Rankin Automation,https://rankinautomation.com,https://rankinautomation.com/contact-us/,,Owner / Sales Manager,,Factory automation services,11-50,High,Unknown,"Contact page does not visibly structure machine guarding, panel, programming, work-cell, or factory automation project context.","project type, machinery, plant constraints, controls stack, timeline, and budget","Regional automation firms need better project intake without buying SaaS stacks",4,Teardown first,Not started,Not started,Find owner or sales lead and send teardown ask,,Good non-SaaS technical buyer profile
DEVELOP LLC,https://develop-llc.com,https://develop-llc.com/contact/,,CEO / Business Development,,Automation systems integrator,11-50,High,Unknown,"Contact form asks for service and comments but could pre-build a project profile with process, expected ROI, equipment, timeline, and capital readiness.","process to automate, equipment, ROI target, timeline, capital readiness, and stakeholders","Automation assessment offer creates a direct intake-improvement angle",5,Teardown first,Not started,Not started,Find CEO or BD lead and send teardown ask,,Strong fit and public contact form
Fireball Industries,https://www.fireballz.ai,https://www.fireballz.ai/get-a-quote,,Founder / Sales Lead,,Industry 4.0 and AI automation,1-20,High,Unknown,"Quote form asks project overview but does not visibly route by AI vision, predictive maintenance, robotics, PLC/edge deployment, or urgency.","AI use case, plant process, PLC/edge stack, desired outcome, timeline, and budget","AI-industrial positioning with project quote motion is close to ideal",5,Teardown first,Not started,Not started,Find founder or sales lead and send teardown ask,,Very strong .ai industrial account
Industrial Kinetics,https://www.iki.com,https://www.iki.com/contact,,Sales Manager / Project Sales,,Conveyor and automation systems,51-200,High,Unknown,"Request-quote form captures material and description but could pre-build routing around system type, urgency, constraints, facility, and budget.","material handled, system type, facility constraints, purchase timeline, budget, and stakeholders","Complex engineered systems have quote intake that can be improved with AI profiling",4,Teardown first,Not started,Not started,Find sales or project sales lead and send teardown ask,,Visible detailed quote form
Pieper Automation,https://www.pieperpower.com,https://www.pieperpower.com/pieper-automation-contact-us,,Automation Sales / Vision Lead,,Machine vision and automation,51-200,High,Unknown,"Automation contact path does not visibly capture inspection type, camera/lighting constraints, line speed, product variability, or validation requirements.","inspection type, camera/lighting constraints, line speed, product variability, validation needs, and timeline","Vision inspection projects need context before an engineer or sales callback",5,Teardown first,Not started,Not started,Find automation sales or vision lead and send teardown ask,,Strong machine-vision use case
Automation and Control Services,https://plcexperts.com/,https://plcexperts.com/,,Owner / Sales Manager,,Automation controls and robotics,11-50,High,Unknown,"Request-a-quote path does not visibly collect PLC/HMI, robot brand, panel needs, industry, project urgency, or support requirements.","PLC/HMI stack, robot brand, panel needs, industry, urgency, and service scope","Controls and robotics projects are technical but usually handled with basic intake",5,Teardown first,Not started,Not started,Find owner or sales lead and send teardown ask,,Great fit for non-SaaS technical niche
